approxAnzahl,areaRatio,circleLike,contureDistance,conturenAnzahl,farPoint,keyPointsAnzahl,mean_val,middlepointDistance,minimal_ratio,minimal_ratio2,momentpointDistance,rectangleLike,seradity,seradity2,solidity,solidity2,steiner,type
24,1.0,0.39807985790504735,2.3011356890957404,1,4259,198,255.0,4.046556909269304,3.7068550711939903,3.7068550711939903,14.0,1.1931102814589072,0.904686742923455,0.904686742923455,0.8404280431190495,0.8404280431190495,2.23606797749979,Flaschenoeffner
18,0.22193777932051895,0.3226920481522157,1.6482852409015691,2,4386,353,201.40817540579587,6.139625783402281,2.349036506564391,1.3449132081581605,26.019223662515376,0.8642957569992515,0.9358265028934551,0.9510041470112444,0.7998542375234261,0.9755864962807553,23.0,Flaschenoeffner
20,0.04789874988917457,0.3623890756036228,1.3945197092311885,5,5882,422,238.84272997032642,9.958713573498308,3.5657780040615443,1.730964430451051,36.49657518178932,1.0753739695557165,0.9291446224822224,0.9235252096977649,0.8804324493101496,0.8514578408195429,1.0,Flaschenoeffner
18,0.04140540088621353,0.39883895130925223,1.157630091863418,4,3882,441,242.13288297565597,8.543678814395099,4.3068963364996815,1.595719472378216,37.589892258425,1.204330323377534,0.8992394937898149,0.9189417707631122,0.9097201095223608,0.9053930530164533,4.47213595499958,Flaschenoeffner
26,0.12995684679725097,0.37953519628366794,1.2096741885898152,4,18908,504,220.141066378016,2.9496196464138817,2.7122141018169312,7.8651680148445235,29.120439557122072,1.1024766307624514,0.7613673196328943,0.929830323210247,0.705757758058856,0.8926567455476946,21.37755832643195,Dosenoeffner
11,0.019227380416266912,0.3535625878861188,1.253135574077044,2,2816,297,250.50439780881104,9.910991261856593,3.734592238931091,1.0,37.013511046643494,1.04743637039427,0.9612147912598293,0.9613322119767209,0.9380142521304731,0.9790628115653041,0.0,Dosenoeffner
23,0.07145085035130344,0.5365635260236132,0.6057682573565221,5,156931,501,225.96639426683478,-0.34620630933612856,2.042443370088972,13.03448275862069,8.0,1.4394526171519963,0.2982280546530963,0.8564024362852529,0.4555684977479962,0.8422835026608612,108.46197490364999,Korkenzieher
21,1.0,0.37968403749767204,1.0896917020201518,1,54603,451,255.0,-1.4640617564063747,2.0490938902493263,2.0490938902493263,-2.8284271247461903,0.8690700748674962,0.6583731889797954,0.6583731889797954,0.5465728924980665,0.5465728924980665,38.600518131237564,Dosenoeffner
31,0.016389579787930358,0.5242573705986655,1.2269639346435104,3,20107,512,249.77629433346922,6.661301794582962,2.7558516813657015,1.2777777777777777,30.463092423455635,1.567981665393632,0.7184595714484118,0.9687911738103303,0.49040881310667145,0.9750778816199377,17.46424919657298,Korkenzieher
21,0.013668738935320515,0.43383669362108246,1.2249020839638747,3,7915,380,249.5015142337977,9.145203958251596,3.499101840274084,1.8,36.0,1.3112100720666762,0.8160587309234582,0.9799590719459458,0.7939657426778243,0.9880952380952381,7.211102550927978,Korkenzieher
25,0.005129338420024193,0.26935203162185495,1.1865930382969982,3,51436,439,253.84279526025074,12.497241972198664,1.4711066931206875,1.043478311860086,1.4142135623730951,0.18261214202428877,0.7060651351161574,0.9684848184516354,0.6489734299516908,0.9778270509977827,18.027756377319946,Dosenoeffner
